title,exercise_type,target_muscle_group,equipment,experience_level,exercise_rating,exercise_rating_description,alternative_exercises
Standing V-Grip Cable Rows,Strength,Lats,Cable,Intermediate,n/a,Not Yet Rated,N/A
Double Arm Cable Biceps Curl,Strength,Biceps,Cable,Intermediate,n/a,Not Yet Rated,N/A
Seated Biceps Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Natural Glute Ham Raise with Stability Ball,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Double-kettlebell push-press,Strength,Shoulders,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Lateral ape,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Hollow-body knee tuck,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Seated Barbell Curl,Strength,Biceps,Barbell,Intermediate,n/a,Not Yet Rated,N/A
HM Squat with Alternating Leg Extension,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Air Jumping Rope,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Air Squat,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Bent-Over Quick Row,Strength,Middle Back,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Cross Lunge,Strength,Hamstrings,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Donkey Kick,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Front Kick,Strength,Hamstrings,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Dumbbell Plank Row,Strength,Abdominals,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Jump Lunge,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM World&#x27;s Greatest Stretch,Stretching,Hamstrings,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Straddle Stretch,Stretching,Abductors,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Lunge Reach,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Lunge-In-Place,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Reverse Lunge With Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Side Lunge,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Sumo Pulse,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Sumo Squat,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Side Plank Reach,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Superman Lat Pull,Strength,Lats,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Side-Kick,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Slow Step-Down With Chair,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Sprawl Kick-Through,Strength,Hamstrings,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Superman Plank,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Step-Back,Strength,Hamstrings,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Table Pose,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Step-Up With Chair,Strength,Hamstrings,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Toe Touch,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Tuck-Up Burpee,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Angel Stretch,Strength,Middle Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Arm Circle,Strength,Shoulders,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Banana Stretch,Strength,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Banded Cross-Over Pull,Strength,Chest,Bands,Intermediate,n/a,Not Yet Rated,N/A
HM Banded Squat Toe Tap,Strength,Quadriceps,Bands,Intermediate,n/a,Not Yet Rated,N/A
HM Bear Crawl,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Bear Stance Fire Hydrant,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Turkish Get-Up,Strength,Quadriceps,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
HM T-Spine Stretch on Wall,Stretching,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Walking Frankenstein,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Walking Hip Stretch,Stretching,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Wide Jump Squat,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Right Leg Swing,Stretching,Abductors,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Right Side Bird-Dog,Stretching,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Bent-Over Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
HM Right Side Crunch,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Bent-Over Rear-Delt Fly,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
HM Right Side Iron Cross,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Bicycle,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Bird-Dog Plank,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Boat Pose,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Right Side-Kick,Stretching,Abductors,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Bottoms Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Running in Place,Cardio,Glutes,N/A,Intermediate,n/a,Not Yet Rated,N/A
HM Boxer Shuffle,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Bridge,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Running Lunge,Cardio,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Bulgarian Split Squat On Chair,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Burpee,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Running Man Crunch,Cardio,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Butterfly,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Alternating Lunge Push-Up,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Seated Twist,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Shoulder Stretch,Stretching,Shoulders,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Shoulder Stretch on Floor,Stretching,Shoulders,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Shoulder Tap,Stretching,Shoulders,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Side-Bend Pose,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Chair Dip,Strength,Triceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Child&#x27;s Pose,Strength,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Side-Plank Arm Wrap,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Cobra,Strength,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Side-Plank with Hip Touch,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Cobra With Arm Retraction,Strength,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Side-Plank with Kick,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Comet,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Couch Stretch,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Side V-Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Single-Leg Bridge,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Crab Crunch,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Cross-Over Crunch,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Crunch Pulse,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Dead Bug,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Dive-Bomber,Strength,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Down Up,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Downward-Facing Dog Pose,Strength,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Single-Leg Inchworm,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Downward Dog To Left Leg Extension To Warrior Pose,Strength,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Downward Dog To Right Leg Extension To Warrior Pose,Strength,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Duck Walk,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Dumbbell Overhead Squat,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
HM Dumbbell Shoulder Press,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
HM Dumbbell Squat,Strength,Quadriceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
HM Floor Jack,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Floor Wiper,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Floor Kick,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Fragon,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Frankenstein,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Single-Leg Overhead Dumbbell Press,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
HM Single-Leg Romanian Deadlift,Strength,Quadriceps,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
HM Single-Leg Squat on Chair,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Single-Leg Touchdown,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Sit-Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Slow Mountain Climber,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Slow Sit-Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Speed Skater,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Spine Twist,Strength,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Squat Jump,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Squat Lunge,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Frog Stretch,Strength,Abductors,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Garland Pose,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Good Morning,Strength,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Half-Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Hand-On-Wall Stretch,Strength,Shoulders,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Right Knee-Up,Strength,Hamstrings,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM High Knees,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Hi-Low,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Hollow-Body Pulse,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Hollow Hold,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Inchworm,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Incline Push-Up On Chair,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM In-And-Out Squat,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM In-And-Out Squat Jump,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Jumping Arm Circle,Strength,Shoulders,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Jumping Jack,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Jumping Knee-Up,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Jumping Rope,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Kettlebell Swing,Strength,Lower Back,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
HM Right Side Hollow Hold with Pulse,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Right Calf-Spike Sumo Pulse,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Kettlebell Windmill,Strength,Shoulders,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
HM Reverse Lunge with Kick,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Kettlebell Z-Press,Strength,Shoulders,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
HM Reverse Crunch with Frisbee,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Kick-Back,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Kick-Out,Strength,Abductors,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Lateral Raise,Strength,Shoulders,Bands,Intermediate,n/a,Not Yet Rated,N/A
HM Left Calf-Spike Sumo Pulse,Strength,Calves,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Left Knee-Up,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Left Leg Swing,Strength,Adductors,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Left Side Bird-Dog,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Left Side Crunch,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Left Side Hollow Hold With Pulse,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Left Side Iron Cross,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Left Side-Kick,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Monster Walk,Strength,Glutes,Bands,Intermediate,n/a,Not Yet Rated,N/A
HM Reverse Crunch,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Left-Leg Lunge And Kick-Out,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Rag Doll,Strength,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Low Lunge With External Twist,Strength,Hamstrings,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Push-Up,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Push-Plank,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Low Lunge With External Twist And Arm Reach,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Mountain Climber,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Mountain Pose,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Ninja Crawl,Strength,Hamstrings,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Prison Sit-Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Pigeon Stretch,Strength,Hamstrings,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Plank Alternating Hip-Dip,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Upward-Facing Dog Pose,Strength,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Tuck-Up Get-Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Butt Kickers,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Right-Leg Lunge And Kick-Out,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Flutter Kick,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
6 Way Shoulder Raise,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
HM Sumo Get-Up,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Leg Lifts,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
HM Plank,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
AM Wide Grip Lat Pull Down,Strength,Lats,N/A,Intermediate,n/a,Not Yet Rated,N/A
Walking lunge,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
AM Upright Row,Strength,Shoulders,Barbell,Intermediate,n/a,Not Yet Rated,N/A
Smith machine standing calf raise,Strength,Calves,Barbell,Intermediate,n/a,Not Yet Rated,N/A
AM Standing Barbell Curl,Strength,Biceps,Barbell,Intermediate,n/a,Not Yet Rated,N/A
Hindu Push-Up,Strength,Abdominals,N/A,Intermediate,n/a,Not Yet Rated,N/A
Hercules Chin-Up,Strength,Abdominals,N/A,Intermediate,n/a,Not Yet Rated,N/A
Bodyweight Triceps Extension,Strength,Abdominals,N/A,Intermediate,n/a,Not Yet Rated,N/A
McGill Pull-Up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Head nod,Strength,Abdominals,N/A,Intermediate,n/a,Not Yet Rated,N/A
AM Skullcrusher,Strength,Triceps,Barbell,Intermediate,n/a,Not Yet Rated,N/A
AM Leg Press,Strength,Quadriceps,Machine,Intermediate,n/a,Not Yet Rated,N/A
Seated dumbbell lateral raise,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
AM Hammer Curls,Strength,Biceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
AM T-Bar Row,Strength,Lats,Other,Intermediate,n/a,Not Yet Rated,N/A
Leg extension,Strength,Quadriceps,Machine,Intermediate,n/a,Not Yet Rated,N/A
AM Leg Lift,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
AM Barbell Shoulder Press,Strength,Shoulders,Barbell,Intermediate,n/a,Not Yet Rated,N/A
AM Barbell Squat,Strength,Quadriceps,Barbell,Intermediate,n/a,Not Yet Rated,N/A
Single-arm triceps kick-back,Strength,Glutes,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
AM Dumbbell Shoulder Press,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
AM Dumbbell Side Raise,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Dumbbell chest fly,Strength,Chest,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
AM Flat Bench Barbell Press,Strength,Chest,Barbell,Intermediate,n/a,Not Yet Rated,N/A
AM Seated Hammer Curls,Strength,Biceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
AM Pec Dec,Strength,Chest,Machine,Intermediate,n/a,Not Yet Rated,N/A
Machine rear delt fly,Strength,Chest,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Machine seated calf raise,Strength,Calves,Machine,Intermediate,n/a,Not Yet Rated,N/A
AM Seated Hamstring Curl,Strength,Hamstrings,Machine,Intermediate,n/a,Not Yet Rated,N/A
Straight-arm bar pull-down,Strength,Triceps,Cable,Intermediate,n/a,Not Yet Rated,N/A
AM Ab Machine,Strength,Abdominals,Machine,Intermediate,n/a,Not Yet Rated,N/A
AM Chest Dips,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
AM Close-Grip Pull-Down,Strength,Lats,Cable,Intermediate,n/a,Not Yet Rated,N/A
AM Decline Abs,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
AM Jump Squat,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
AM Cable Crunch,Strength,Abdominals,Cable,Intermediate,n/a,Not Yet Rated,N/A
High-to-low cable chest fly,Strength,Chest,Cable,Intermediate,n/a,Not Yet Rated,N/A
AM Rope Triceps Pushdown,Strength,Triceps,Cable,Intermediate,n/a,Not Yet Rated,N/A
AM Bar Triceps Push-Down,Strength,Triceps,Cable,Intermediate,n/a,Not Yet Rated,N/A
EZ-bar preacher curl,Strength,Biceps,Barbell,Intermediate,n/a,Not Yet Rated,N/A
AM Single Arm Row,Strength,Middle Back,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
AM Pull-Up,Strength,Lats,Body Only,Intermediate,n/a,Not Yet Rated,N/A
AM Wide-Grip Pull-Down,Strength,Lats,Cable,Intermediate,n/a,Not Yet Rated,N/A
Push-up,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
AM Bodyweight Squat,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Bench crunch,Strength,Abdominals,Other,Intermediate,n/a,Not Yet Rated,N/A
AM Ball Crunch,Strength,Abdominals,Exercise Ball,Intermediate,n/a,Not Yet Rated,N/A
Bench dip,Strength,Triceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
AM Dumbbell Bench Press,Strength,Chest,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Seated alternating biceps curl,Strength,Biceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Hanging crunch,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
AM Front Raise,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
AM Cable Biceps Curl,Strength,Biceps,Cable,Intermediate,n/a,Not Yet Rated,N/A
High knees sprawl drill,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Medicine ball jumping jill,Strength,Quadriceps,Medicine Ball,Intermediate,n/a,Not Yet Rated,N/A
Rusin Banded Over-And-Back,Strength,Shoulders,Bands,Intermediate,n/a,Not Yet Rated,N/A
Rusin Banded Face Pull,Strength,Shoulders,Bands,Intermediate,n/a,Not Yet Rated,N/A
Rusin Band Pull-Apart,Strength,Chest,Bands,Intermediate,n/a,Not Yet Rated,N/A
Cable seated row,Strength,Shoulders,Cable,Intermediate,n/a,Not Yet Rated,N/A
Taylor Half-Kneeling Kettlebell Halo,Strength,Shoulders,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Taylor Single-Arm Kettlebell Swing,Strength,Abdominals,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Taylor Single-Arm Kettlebell Front Squat,Strength,Quadriceps,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Taylor Bottoms-Up Single-Arm Kettlebell Press,Strength,Abdominals,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Taylor Plank Kettlebell Drag-Through,Strength,Abdominals,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Taylor Towel Kettlebell Farmer&#x27;s Walk,Strength,Shoulders,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Taylor Kettlebell Goblet Clean,Strength,Quadriceps,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Taylor Kettlebell Swing,Strength,Glutes,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Taylor Kettlebell Goblet Squat,Strength,Quadriceps,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Tyler Holt Hanging Toes-To-Bar,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Tyler Holt Weighted Knee-To-Chest Crunch,Strength,Abdominals,Cable,Intermediate,n/a,Not Yet Rated,N/A
Kipping Clapping Pull-Up,Strength,Shoulders,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Plyometric Power Clean,Strength,Quadriceps,Barbell,Intermediate,n/a,Not Yet Rated,N/A
Banded Split Jerk,Strength,Quadriceps,Barbell,Intermediate,n/a,Not Yet Rated,N/A
High Plyometric Box Jump,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
UP Squat,Strength,Quadriceps,Barbell,Intermediate,n/a,Not Yet Rated,N/A
UP Bench Press,Strength,Chest,Barbell,Intermediate,n/a,Not Yet Rated,N/A
Barbell good morning,Strength,Lower Back,Barbell,Intermediate,n/a,Not Yet Rated,N/A
UP Close-Grip Bench Press,Strength,Chest,Barbell,Intermediate,n/a,Not Yet Rated,N/A
Standing barbell shoulder press,Strength,Shoulders,Barbell,Intermediate,n/a,Not Yet Rated,N/A
Barbell bent-over row,Strength,Middle Back,Barbell,Intermediate,n/a,Not Yet Rated,N/A
UP Push-up,Strength,Chest,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Barbell hip thrust-,Strength,Glutes,Body Only,Intermediate,n/a,Not Yet Rated,N/A
UP Conventional Deadlift,Strength,Lower Back,Barbell,Intermediate,n/a,Not Yet Rated,N/A
Superman-,Strength,Lower Back,Body Only,Intermediate,n/a,Not Yet Rated,N/A
UP Deficit Kettlebell Stiff-Legged Deadlift,Strength,Middle Back,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Goblet squat-,Strength,Quadriceps,Kettlebells,Intermediate,n/a,Not Yet Rated,N/A
Side plank,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Bird dog-,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Single-leg curl up,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
UP Dumbbell Lateral Raise,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
UP Incline Dumbbell Press,Strength,Chest,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
UP Bulgarian Split Squat,Strength,Quadriceps,Body Only,Intermediate,n/a,Not Yet Rated,N/A
Dumbbell stiff-legged deadlift,Strength,Middle Back,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Single-kettlebell windmill,Strength,Abdominals,Body Only,Intermediate,n/a,Not Yet Rated,N/A
UP Band Pull-Apart,Strength,Shoulders,Bands,Intermediate,n/a,Not Yet Rated,N/A
Bent-over dumbbell rear delt fly,Strength,Lats,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Alternating hammer curl,Strength,Biceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Alternating biceps curl,Strength,Biceps,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
UP Incline Dumbbell Fly,Strength,Chest,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
UP Hamstring Curl,Strength,Hamstrings,Machine,Intermediate,n/a,Not Yet Rated,N/A
UP Seated Dumbbell Overhead Press,Strength,Shoulders,Dumbbell,Intermediate,n/a,Not Yet Rated,N/A
Standing EZ-bar curl,Strength,Biceps,E-Z Curl Bar,Intermediate,n/a,Not Yet Rated,N/A
